Item_No,Revision,Name,Item Type,Item Status,Item Group,Item Source,Product Type,Old Item ID,Weight,Recipe Effective Date,Grade,Description,Building Code,Standard Job Quantity,Minimum Job Quantity,Standard Order Quantity,Note,Engineer,Engineer2,Engineer3,Planner,Program Manager,Control Level,Recipe Expiration Date,Minimum Inventory Quantity,Lead Time,Scrap,Daily Pull,Area,Workcenter,Temper,Customer Supplied Material,Serialize,Job Consolidation Window,Maximum Inventory Quantity,Additional Documents,Other Note,MRBBreakpoint,Internal Note,Transfer Die No,Label Note,Side,Use DCP,Internal Approval Note,Unit,Drawing No,Lead Time Days,Minimum Order Quantity,Default Stock Location,Suppress Transmit EDI,Theoretical Weight,Freight Cost,Customs Value,Max Splits Prime Control Panel,Max Splits Prime Lift Entry,Max Splits Reject Control Panel,Max Splits Reject Lift Entry,Barcode Extension,Freight Cost Currency Code,Customs Value Currency Code,Customer Shipping Code,Suppress Receipt Transmission,Raw Material PONo,Batch Scrap Pieces,Job Creation Threshold,Quoted Job Quantity,Department Code,Batch Scrap Percent,Commodity Code,Cycle Frequency,Harmonized Tariff Code,Item Drawing Revision,Item Drawing Number,Allow Weighing,Allow Split Containers,Maximum Splits,Offal,Increased Inspection,Controlled Shipping1,Controlled Shipping2,Finished Item Buffer,Level Scheduled,Planning Group,Customer Code,Inventory Classification Code,Industry,Item Product Group,Ecommerce,Account No,Item Tax Code,Country of Origin,Quoted Lead Time,APQPChecklist No,Average Value,Customer Approval End Date,Customer Approval Note,Customer Approval Quantity,Customer Approval Start Date,Customer Approval Status,Dock Alert,Exclusive Use Rights Customer Code,Freight Classification Code,Freight Weight Class,Hold On Receipt,Internal Approval Quantity,Internal Approval Start Date,Internal Approval End Date,Internal Approval Status,Like Item No,Like Part Revision,LTANumber,Packing Group,Item Priority,Part Label Format,RPDisplay,Special Symbol,Supplier Part Level,Submission Date,Surcharge,Team,Tracking No Required,Transfer Company,UPCCode,Quality Advanced Planning Version,Container Type,Container Default,Container Active,Container Sort Order,Container UPCCode,Container Note,Container Standard Quantity,Container Variable Standard Quantity,BOMAllocation Variance,Reapplication Prevent,Release Auto Create,Source Load Split,Final Electrical Test,Deviation,Lot Required,Lot Replenishable,Lot Format Description,MRPDemand Level,Process Days,Direct Sales,Standard Pack Computed,Level Manually,Planning Placeholder,Excess Inventory,Excess Inventory Level,Release Over Receipt Threshold,BOM Substitution Allowed,Include In Job Set,Allergens
04 Cornstarch,,04 Cornstarch,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
04 Lemon Juice,,04 Lemon Juice,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
04 Pie Crust Bottom,,04 Pie Crust Bottom,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
04 Pie Crust Top,,04 Pie Crust Top,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
04 Sugar,,04 Sugar,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
05 Almond Extract,,05 Almond Extract,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
05 Cherries-Pitted,,05 Cherries - Pitted,Ingredients,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
05 Cherry Pie,,05 Cherry Pie,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
05 Cornstarch,,05 Cornstarch,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
05 Lemon Juice,,05 Lemon Juice,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
05 Pie Crust Bottom,,05 Pie Crust Bottom,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
05 Pie Crust Top,,05 Pie Crust Top,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
05 Sugar,,05 Sugar,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
06 Almond Extract,,06 Almond Extract,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
06 Cherries-Pitted,,06 Cherries - Pitted,Ingredients,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
06 Cherry Pie,,06 Cherry Pie,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
06 Cornstarch,,06 Cornstarch,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
06 Lemon Juice,,06 Lemon Juice,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
06 Pie Crust Bottom,,06 Pie Crust Bottom,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
06 Pie Crust Top,,06 Pie Crust Top,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
06 Sugar,,06 Sugar,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
07 Almond Extract,,07 Almond Extract,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
07 Cherries-Pitted,,07 Cherries-Pitted,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
07 Cherry Pie,,07 Cherry Pie,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
07 Cherry Pie Filling,,07 Cherry Pie Filling,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
07 Cornstarch,,07 Cornstarch,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
07 Lemon Juice,,07 Lemon Juice,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
07 Pie Crust Bottom,,07 Pie Crust Bottom,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
07 Pie Crust Top,,07 Pie Crust Top,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
07 Sugar,,07 Sugar,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
08 Almond Extract,,08 Almond Extract,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
08 Cherries-Pitted,,08 Cherries-Pitted,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
08 Cherry Pie,,08 Cherry Pie,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
08 Cherry Pie Filling,,08 Cherry Pie Filling,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
08 Cornstarch,,08 Cornstarch,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
08 Lemon Juice,,08 Lemon Juice,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
08 Pie Crust Bottom,,08 Pie Crust Bottom,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
08 Pie Crust Top,,08 Pie Crust Top,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
08 Sugar,,08 Sugar,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
09 Almond Extract,,09 Almond Extract,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
09 Cherries-Pitted,,09 Cherries-Pitted,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
09 Cherry Pie,,09 Cherry Pie,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
09 Cherry Pie Filling,,09 Cherry Pie Filling,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
09 Cornstarch,,09 Cornstarch,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
09 Lemon Juice,,09 Lemon Juice,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
